Species	Organism_group	Class	Order	Domain	Established	Trophic_level	Adaptive_trait	Depigmented	Eye_regression	Leg_elong	Behavior	Phys_adap	Wing
Tegenaria domestica	invertebrate	Arachnida	Araneae	terrestrial	1	predator	1	0	0	0	1	0	0
Teleogryllus oceanicus	invertebrate	Insecta	Orthoptera	terrestrial	NA	omnivorous	0	NA	NA	NA	NA	NA	0
Tetramorium lucayanus	invertebrate	Insecta	Hymenoptera	terrestrial	1	omnivorous	0	NA	NA	NA	NA	NA	1
Tomocerus minor	invertebrate	Entognatha	Collembola	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Trachelipus rathkei	invertebrate	Malacostraca	Isopoda	terrestrial	0	detritivore	0	NA	NA	NA	NA	NA	0
Triaeris stenaspis	invertebrate	Arachnida	Araneae	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Trichia hispida	invertebrate	Gastropoda	Stylommatophora	terrestrial	0	omnivorous	0	NA	NA	NA	NA	NA	0
Trichorhina tomentosa	invertebrate	Malacostraca	Isopoda	terrestrial	NA	detritivore	1	1	0	0	0	0	0
Troglophilus neglectus	invertebrate	Insecta	Orthoptera	terrestrial	0	detritivore	1	1	1	1	1	1	0
Tropocyclops prasinus	invertebrate	Hexanauplia	Cyclopoida	freshwater	0	omnivorous	0	NA	NA	NA	NA	NA	0
Veigaia planicola	invertebrate	Arachnida	Mesostigmata	terrestrial	0	predator	1	1	1	0	0	0	0
Veigaia pusilla	invertebrate	Arachnida	Mesostigmata	terrestrial	0	predator	1	1	1	0	0	0	0
Veigaia serrata	invertebrate	Arachnida	Mesostigmata	terrestrial	1	predator	1	0	1	0	0	0	0
Vitronura giselae	invertebrate	Entognatha	Collembola	terrestrial	0	detritivore	0	NA	NA	NA	NA	NA	0
Vulpes vulpes	vertebrate	Mammalia	Carnivora	freshwater	0	omnivorous	0	NA	NA	NA	NA	NA	0
Xiphophorus maculatus	vertebrate	Actinopterygii	Cyprinodontiformes	freshwater	NA	omnivorous	0	NA	NA	NA	NA	NA	0
